,Country,GDP per capita,Móvil,Internet,Banda Ancha,Year
5723,Liechtenstein,19677.018485588,,,,1982
5724,Sri Lanka,307.638243518979,0.0,,,1982
5725,Lower middle income,520.906456497995,0.0,,,1982
5726,Low & middle income,742.810549583797,0.0,,,1982
5727,Lesotho,246.40114869501,0.0,,,1982
5728,Late-demographic dividend,843.671292588139,0.0001408,,,1982
5729,Lithuania,,0.0,,,1982
5730,Luxembourg,12590.9767956204,0.0,,,1982
5731,Latvia,,0.0,,,1982
5732,"Macao SAR, China",4549.01683674284,0.0,,,1982
5733,St. Martin (French part),,,,,1982
5734,Morocco,836.435062562509,0.0,,,1982
5735,Monaco,41371.8768078816,0.0,,,1982
5736,Moldova,,0.0,,,1982
5737,Madagascar,518.18349120989,0.0,,,1982
5738,Maldives,282.080670388223,0.0,0.0,,1982
5739,Middle East & North Africa,3117.08655642668,0.001281127,,,1982
5740,Mexico,2597.98290287556,0.0,,,1982
5741,Marshall Islands,1047.64476447645,0.0,,,1982
5742,Middle income,770.214278595026,0.0,,,1982
5743,North Macedonia,,0.0,,,1982
5744,Mali,180.511379824461,0.0,,,1982
5745,Malta,3788.05063240646,0.0,,,1982
5746,Myanmar,36.4552410699367,0.0,,,1982
5747,Middle East & North Africa (excluding high income),1728.57626056069,0.0,,,1982
5748,Montenegro,,,,,1982
5749,Mongolia,1435.7670965977,0.0,,,1982
5750,Northern Mariana Islands,,0.0,,,1982
5751,Mozambique,,0.0,,,1982
5752,Mauritania,678.708791180357,0.0,,,1982
5753,Mauritius,1086.53502506849,0.0,,,1982
5754,Malawi,179.729959177697,0.0,,,1982
5755,Malaysia,1852.25648402949,0.0,,,1982
5756,North America,14242.8454584504,,,,1982
5757,Namibia,1917.23438344049,0.0,,,1982
5758,New Caledonia,6208.64702494489,0.0,,,1982
5759,Niger,318.058230575674,0.0,,,1982
5760,Nigeria,1843.90935263196,0.0,,,1982
5761,Nicaragua,713.479924974047,0.0,,,1982
5762,Netherlands,11072.6584545573,0.0,,,1982
5763,Norway,15224.8939100982,0.268966988,,,1982
5764,Nepal,152.289669755426,0.0,,,1982
5765,Nauru,,0.0,,,1982
5766,New Zealand,7656.47573238963,0.0,,,1982
5767,OECD members,8547.27925687486,0.012386061,,,1982
5768,Oman,5855.82240402531,0.0,,,1982
5769,Other small states,2496.20324970965,0.0,,,1982
5770,Pakistan,368.277399316485,0.0,,,1982
5771,Panama,2782.28979606008,0.0,,,1982
5772,Peru,1182.7309276212,0.0,,,1982
5773,Philippines,843.72259591091,0.0,,,1982
5774,Palau,,,,,1982
5775,Papua New Guinea,628.523784873151,0.0,,,1982
5776,Poland,,0.0,,,1982
5777,Pre-demographic dividend,866.884156171223,0.0,,,1982
5778,Puerto Rico,5115.00851423346,0.0,,,1982
5779,"Korea, Dem. People's Rep.",,0.0,,,1982
5780,Portugal,3079.94956634271,0.0,,,1982
5781,Paraguay,1608.72455696821,0.0,,,1982
5782,West Bank and Gaza,,,,,1982
5783,Pacific island small states,1326.69426595511,0.0,,,1982
5784,Post-demographic dividend,9319.85016258842,0.014402863,,,1982
5785,French Polynesia,7907.98223886936,0.0,,,1982
5786,Qatar,27402.267491084,,,,1982
5787,Romania,,0.0,,,1982
5788,Russian Federation,,0.0,,,1982
5789,Rwanda,255.637012297001,0.0,,,1982
5790,South Asia,274.134279699762,0.0,,,1982
5791,Saudi Arabia,13944.9512846134,,,,1982
5792,Sudan,453.796181865008,0.0,,,1982
5793,Senegal,679.210074169068,0.0,,,1982
5794,Singapore,6077.63424070932,0.0,,,1982
5795,Solomon Islands,781.34908559785,0.0,,,1982
5796,Sierra Leone,365.904485194525,0.0,,,1982
5797,El Salvador,717.543890387178,0.0,,,1982
5798,San Marino,,,,,1982
5799,Somalia,117.193535405213,0.0,,,1982
5800,Serbia,,,,,1982
5801,Sub-Saharan Africa (excluding high income),843.3683753554,0.0,,,1982
5802,South Sudan,,,,,1982
5803,Sub-Saharan Africa,843.586797416444,0.0,,,1982
5804,Small states,2548.04289263677,0.0,,,1982
5805,Sao Tome and Principe,,0.0,,,1982
5806,Suriname,2535.13868455394,0.0,,,1982
5807,Slovak Republic,,0.0,,,1982
5808,Slovenia,,0.0,,,1982
5809,Sweden,13738.9722980374,0.326985356,,,1982
5810,Eswatini,853.549917822489,0.0,,,1982
5811,Sint Maarten (Dutch part),,,,,1982
5812,Seychelles,2296.30772927437,0.0,,,1982
5813,Syrian Arab Republic,1827.44443098019,0.0,0.0,,1982
5814,Turks and Caicos Islands,,0.0,,,1982
5815,Chad,176.84232644808,0.0,,,1982
5816,East Asia & Pacific (IDA & IBRD countries),305.006846649476,0.0,,,1982
5817,Europe & Central Asia (IDA & IBRD countries),,0.0,,,1982
5818,Togo,281.810552248143,0.0,0.0,,1982
5819,Thailand,742.851232619121,0.0,0.0,,1982
5820,Tajikistan,,0.0,,,1982
5821,Turkmenistan,,0.0,,,1982
5822,Latin America & the Caribbean (IDA & IBRD countries),2166.63690841981,0.0,,,1982
5823,Timor-Leste,,,,,1982
5824,Middle East & North Africa (IDA & IBRD countries),1713.14714944419,0.0,,,1982
5825,Tonga,662.866430337718,0.0,,,1982
5826,South Asia (IDA & IBRD),274.134279699762,0.0,,,1982
5827,Sub-Saharan Africa (IDA & IBRD countries),843.586797416444,0.0,,,1982
5828,Trinidad and Tobago,7268.10586844211,0.0,,,1982
5829,Tunisia,1206.64296665571,0.0,,,1982
5830,Turkey,1402.40643545276,0.0,,,1982
5831,Tuvalu,,0.0,,,1982
5832,Tanzania,,0.0,,,1982
5833,Uganda,164.687753909377,0.0,,,1982
5834,Ukraine,,0.0,,,1982
5835,Upper middle income,992.866029501043,0.0,,,1982
5836,Uruguay,3107.40083208692,0.0,,,1982
5837,United States,14433.787727053,,,,1982
5838,Uzbekistan,,0.0,,,1982
5839,St. Vincent and the Grenadines,1112.5050445781,0.0,,,1982
5840,"Venezuela, RB",4228.90264790767,0.0,,,1982
5841,British Virgin Islands,,0.0,,,1982
5842,Virgin Islands (U.S.),,0.0,,,1982
5843,Vietnam,,0.0,,,1982
5844,Vanuatu,943.194389717023,0.0,,,1982
5845,World,2520.56124573134,0.002331172,,,1982
5846,Samoa,770.321555741847,0.0,,,1982
5847,Kosovo,,,,,1982
5848,"Yemen, Rep.",,0.0,,,1982
5849,South Africa,2601.05786122582,0.0,,,1982
5850,Zambia,637.545690434603,0.0,,,1982
5851,Zimbabwe,1073.06411632021,0.0,,,1982
5852,Aruba,,0.0,,,1983
5853,Africa Eastern and Southern,643.803760127544,0.0,,,1983
5854,Afghanistan,,0.0,,,1983
5855,Africa Western and Central,815.900740280563,0.0,,,1983
5856,Angola,623.815362351581,0.0,,,1983
5857,Albania,,0.0,,,1983
5858,Andorra,8025.20764054036,0.0,,,1983
5859,Arab World,2322.66693121469,0.002054786,,,1983
5860,United Arab Emirates,34843.1596263749,0.290119573,,,1983
5861,Argentina,3553.37750879684,0.0,,,1983
5862,Armenia,,0.0,,,1983
5863,American Samoa,,0.0,,,1983
5864,Antigua and Barbuda,2948.31727549755,0.0,,,1983
5865,Australia,11538.3984187095,0.0,,,1983
5866,Austria,9537.40742043378,0.0,,,1983
5867,Azerbaijan,,0.0,,,1983
5868,Burundi,240.781703183952,0.0,0.0,,1983
5869,Belgium,8846.23429846974,0.0,,,1983
5870,Benin,271.129844234977,0.0,,,1983
5871,Burkina Faso,217.994602363453,0.0,,,1983
5872,Bangladesh,204.417690056891,0.0,,,1983
5873,Bulgaria,1852.81343442802,0.0,,,1983
5874,Bahrain,9421.3569469587,0.0,,,1983
5875,"Bahamas, The",7698.08303160888,0.0,,,1983
5876,Bosnia and Herzegovina,,0.0,,,1983
5877,Belarus,,0.0,,,1983
5878,Belize,1232.85320212631,0.0,,,1983
5879,Bermuda,15902.0203826211,0.0,,,1983
5880,Bolivia,913.974850691183,0.0,,,1983
5881,Brazil,1465.10809173055,0.0,,,1983
5882,Barbados,4851.0995550743,0.0,,,1983
5883,Brunei Darussalam,18129.2439039929,0.0,,,1983
5884,Bhutan,356.250564578573,0.0,,,1983
5885,Botswana,1176.81953466606,0.0,0.0,,1983
5886,Central African Republic,273.501381836801,0.0,,,1983
5887,Canada,13425.1224888294,0.0,,,1983
5888,Central Europe and the Baltics,,0.0,,,1983
5889,Switzerland,17874.2506500052,0.0,,,1983
5890,Channel Islands,,,,,1983
5891,Chile,1709.44206937403,0.0,,,1983
5892,China,225.431928890812,0.0,,,1983
5893,Cote d'Ivoire,747.756181947221,0.0,,,1983
5894,Cameroon,726.505955159392,0.0,,,1983
5895,"Congo, Dem. Rep.",387.507663587395,0.0,,,1983
5896,"Congo, Rep.",1080.81628815487,0.0,,,1983
5897,Colombia,1348.80462319265,0.0,,,1983
5898,Comoros,570.154121466297,0.0,,,1983
5899,Cabo Verde,461.239997091499,0.0,,,1983
5900,Costa Rica,1213.55645987789,0.0,,,1983
5901,Caribbean small states,2942.71916948449,0.0,,,1983
5902,Cuba,2224.65348584484,0.0,,,1983
5903,Curacao,,,,,1983
5904,Cayman Islands,,0.0,,,1983
5905,Cyprus,4091.04849762666,0.0,,,1983
5906,Czech Republic,,0.0,,,1983
5907,Germany,9864.3449403866,0.0,,,1983
5908,Djibouti,,0.0,,,1983
5909,Dominica,1324.64947480642,0.0,,,1983
5910,Denmark,11857.8921357231,0.314477264,,,1983
5911,Dominican Republic,1487.27582832405,0.0,,,1983
5912,Algeria,2312.65561948251,0.0,,,1983
5913,East Asia & Pacific (excluding high income),310.605348782333,0.0,,,1983
5914,Early-demographic dividend,825.626621766272,0.0,,,1983
5915,East Asia & Pacific,1277.20748054819,0.001644706,,,1983
5916,Europe & Central Asia (excluding high income),,0.0,,,1983
5917,Europe & Central Asia,4717.77956527081,0.015549167,,,1983
5918,Ecuador,1988.78732313123,0.0,,,1983
5919,"Egypt, Arab Rep.",662.687288361304,0.0,,,1983
5920,Euro area,7978.05226687467,0.015935248,,,1983
5921,Eritrea,,0.0,,,1983
5922,Spain,4478.50028561471,,,,1983
5923,Estonia,,0.0,,,1983
5924,Ethiopia,224.627400221574,0.0,,,1983
5925,European Union,6558.82827509266,0.025398201,,,1983
5926,Fragile and conflict affected situations,892.850826056722,0.0,,,1983
5927,Finland,10497.479996566,0.868458539,,,1983
5928,Fiji,1638.38394085292,0.0,,,1983
5929,France,9993.42118219846,0.0,,,1983
5930,Faroe Islands,,0.0,,,1983
5931,"Micronesia, Fed. Sts.",1320.84831948406,0.0,,,1983
5932,Gabon,4325.29785030481,0.0,,,1983
5933,United Kingdom,8691.51881306514,0.0,,,1983
5934,Georgia,,0.0,,,1983
5935,Ghana,337.163348168986,0.0,,,1983
5936,Gibraltar,,0.0,,,1983
5937,Guinea,,0.0,,,1983
5938,"Gambia, The",304.837435369796,0.0,,,1983
5939,Guinea-Bissau,197.03104547551,0.0,,,1983
5940,Equatorial Guinea,144.196312060816,0.0,,,1983
5941,Greece,5019.87877056877,0.0,,,1983
5942,Grenada,1372.6676965447,0.0,0.0,,1983
5943,Greenland,7988.170958612,0.0,,,1983
5944,Guatemala,1212.71655867236,0.0,,,1983
5945,Guam,,0.0,,,1983
5946,Guyana,628.193656527844,0.0,,,1983
5947,High income,9723.46466372326,0.022426618,,,1983
5948,"Hong Kong SAR, China",5595.23513863846,0.0,,,1983
5949,Honduras,1110.47566272987,0.0,,,1983
5950,Heavily indebted poor countries (HIPC),351.512800599222,0.0,,,1983
5951,Croatia,,0.0,,,1983
5952,Haiti,268.291929248001,0.0,,,1983
5953,Hungary,,0.0,,,1983
5954,IBRD only,790.466204355326,0.0,,,1983
5955,IDA & IBRD total,730.973430577235,0.0,,,1983
5956,IDA total,459.197599860943,0.0,,,1983
5957,IDA blend,743.093384984594,0.0,,,1983
5958,Indonesia,512.959111131332,0.0,,,1983
5959,IDA only,312.376631950742,0.0,,,1983
5960,Isle of Man,,,,,1983
5961,India,291.238110137317,0.0,,,1983
5962,Not classified,,,,,1983
5963,Ireland,5915.24177164341,0.0,,,1983
5964,"Iran, Islamic Rep.",3583.32921872663,0.0,,,1983
5965,Iraq,2747.96549472416,0.0,,,1983
5966,Iceland,11671.8090593511,0.0,,,1983
5967,Israel,,,,,1983
5968,Italy,7832.5753867885,0.0,,,1983
5969,Jamaica,1593.18499767422,0.0,,,1983
5970,Jordan,1841.87454400042,0.0,,,1983
5971,Japan,10421.2124356394,0.022584517,,,1983
5972,Kazakhstan,,0.0,,,1983
5973,Kenya,324.39650168135,0.0,,,1983
5974,Kyrgyz Republic,,0.0,,,1983
5975,Cambodia,,0.0,,,1983
5976,Kiribati,612.897464005408,0.0,,,1983
5977,St. Kitts and Nevis,2045.20267613236,0.0,,,1983
5978,"Korea, Rep.",2198.93447182242,0.0,,,1983
5979,Kuwait,13233.8396647489,0.0,,,1983
5980,Latin America & Caribbean (excluding high income),1730.19543628893,0.0,,,1983
5981,Lao PDR,,0.0,,,1983
5982,Lebanon,,0.0,,,1983
5983,Liberia,,0.0,,,1983
5984,Libya,,0.0,,,1983
5985,St. Lucia,1607.53389494283,0.0,,,1983
5986,Latin America & Caribbean,1888.9310483249,0.0,,,1983
5987,Least developed countries: UN classification,242.518220592263,0.0,,,1983
5988,Low income,343.344797523059,0.0,,,1983
5989,Liechtenstein,19560.8103716538,,,,1983
5990,Sri Lanka,328.650638330468,0.0,,,1983
5991,Lower middle income,502.200107276266,0.0,,,1983
5992,Low & middle income,702.584945427117,0.0,,,1983
5993,Lesotho,266.188560451598,0.0,,,1983
5994,Late-demographic dividend,763.785846088924,0.000212222,,,1983
5995,Lithuania,,0.0,,,1983
5996,Luxembourg,12374.0304234408,0.0,,,1983
5997,Latvia,,0.0,,,1983
5998,"Macao SAR, China",4342.34203430073,0.0,,,1983
5999,St. Martin (French part),,,,,1983
6000,Morocco,750.021607418381,0.0,,,1983
6001,Monaco,38893.3032300995,0.0,,,1983
6002,Moldova,,0.0,,,1983
6003,Madagascar,493.088959267911,0.0,,,1983
6004,Maldives,328.102960109175,0.0,0.0,,1983
6005,Middle East & North Africa,3051.84664192032,0.001898489,,,1983
6006,Mexico,2147.71955854609,0.0,,,1983
6007,Marshall Islands,1196.89802471259,0.0,,,1983
6008,Middle income,728.69756822735,0.0,,,1983
6009,North Macedonia,,0.0,,,1983
6010,Mali,171.997851626753,0.0,,,1983
6011,Malta,3527.04000013994,0.0,,,1983
6012,Myanmar,39.1104215021922,0.0,,,1983
6013,Middle East & North Africa (excluding high income),1882.70496812473,0.0,,,1983
6014,Montenegro,,,,,1983
6015,Mongolia,1495.01738870661,0.0,,,1983
6016,Northern Mariana Islands,,0.0,,,1983
6017,Mozambique,,0.0,,,1983
6018,Mauritania,692.787341661572,0.0,,,1983
6019,Mauritius,1088.43640130411,0.0,,,1983
6020,Malawi,181.537642798174,0.0,,,1983
6021,Malaysia,2047.77028789322,0.0,,,1983
6022,North America,15336.6302303339,,,,1983
6023,Namibia,2030.18024323854,0.0,,,1983
6024,New Caledonia,5540.40278606885,0.0,,,1983
6025,Niger,276.182799855065,0.0,,,1983
6026,Nigeria,1222.62930414599,0.0,,,1983
6027,Nicaragua,772.835231962076,0.0,,,1983
6028,Netherlands,10680.3590423923,0.0,,,1983
6029,Norway,14927.5174766339,0.569099679,,,1983
6030,Nepal,151.992553541432,0.0,,,1983
6031,Nauru,,0.0,,,1983
6032,New Zealand,7598.31203875006,0.0,,,1983
6033,OECD members,8753.90453300426,0.01889601,,,1983
6034,Oman,5828.10161804243,0.0,,,1983
6035,Other small states,2302.06394302268,0.0,,,1983
6036,Pakistan,332.521046810914,0.0,,,1983
6037,Panama,2791.77114639352,0.0,,,1983
6038,Peru,919.168856113503,0.0,,,1983
6039,Philippines,734.488197822611,0.0,,,1983
6040,Palau,,,,,1983
6041,Papua New Guinea,661.887935863868,0.0,,,1983
6042,Poland,,0.0,,,1983
6043,Pre-demographic dividend,673.585602151579,0.0,,,1983
6044,Puerto Rico,5217.72272856039,0.0,,,1983
6045,"Korea, Dem. People's Rep.",,0.0,,,1983
6046,Portugal,2735.49106580047,0.0,,,1983
6047,Paraguay,1635.63348717746,0.0,,,1983
6048,West Bank and Gaza,,,,,1983
6049,Pacific island small states,1232.97992395282,0.0,,,1983
6050,Post-demographic dividend,9618.67141540008,0.022237734,,,1983
6051,French Polynesia,7977.58985280644,0.0,,,1983
6052,Qatar,20910.4533402704,,,,1983
6053,Romania,,0.0,,,1983
6054,Russian Federation,,0.0,,,1983
6055,Rwanda,260.005444727657,0.0,,,1983
6056,South Asia,283.432353514784,0.0,,,1983
6057,Saudi Arabia,11039.2397953589,,,,1983
6058,Sudan,390.781297098717,0.0,,,1983
6059,Senegal,586.142900156769,0.0,,,1983
6060,Singapore,6633.23667366491,0.0,,,1983
6061,Solomon Islands,711.393491212699,0.0,,,1983
6062,Sierra Leone,274.90177928366,0.0,,,1983
6063,El Salvador,729.738710359514,0.0,,,1983
6064,San Marino,,,,,1983
6065,Somalia,110.884783979098,0.0,,,1983
6066,Serbia,,,,,1983
6067,Sub-Saharan Africa (excluding high income),713.989641072888,0.0,,,1983
6068,South Sudan,,,,,1983
6069,Sub-Saharan Africa,714.221892427642,0.0,,,1983
6070,Small states,2414.12637598326,0.0,,,1983
6071,Sao Tome and Principe,,0.0,,,1983
6072,Suriname,2438.70796782617,0.0,,,1983
6073,Slovak Republic,,0.0,,,1983
6074,Slovenia,,0.0,,,1983
6075,Sweden,12608.2291505865,0.435574537,,,1983
6076,Eswatini,851.596268383168,0.0,,,1983
6077,Sint Maarten (Dutch part),,,,,1983
6078,Seychelles,2280.45155062171,0.0,,,1983
6079,Syrian Arab Republic,1878.7749573128,0.0,0.0,,1983
6080,Turks and Caicos Islands,,0.0,,,1983
6081,Chad,172.260217658847,0.0,,,1983
6082,East Asia & Pacific (IDA & IBRD countries),314.19190583691,0.0,,,1983
6083,Europe & Central Asia (IDA & IBRD countries),,0.0,,,1983
6084,Togo,252.973785957241,0.0,0.0,,1983
6085,Thailand,798.080449924439,0.0,0.0,,1983
6086,Tajikistan,,0.0,,,1983
6087,Turkmenistan,,0.0,,,1983
6088,Latin America & the Caribbean (IDA & IBRD countries),1837.56057233758,0.0,,,1983
6089,Timor-Leste,,,,,1983
6090,Middle East & North Africa (IDA & IBRD countries),1865.90011848312,0.0,,,1983
6091,Tonga,649.312579627507,0.0,,,1983
6092,South Asia (IDA & IBRD),283.432353514784,0.0,,,1983
6093,Sub-Saharan Africa (IDA & IBRD countries),714.221892427641,0.0,,,1983
6094,Trinidad and Tobago,6821.85030635171,0.0,,,1983
6095,Tunisia,1203.65823382209,0.0,,,1983
6096,Turkey,1310.25565176093,0.0,,,1983
6097,Tuvalu,,0.0,,,1983
6098,Tanzania,,0.0,,,1983
6099,Uganda,164.262618117372,0.0,,,1983
6100,Ukraine,,0.0,,,1983
6101,Upper middle income,927.531054710769,0.0,,,1983
6102,Uruguay,1716.17856691176,0.0,,,1983
6103,United States,15543.8937174925,,,,1983
6104,Uzbekistan,,0.0,,,1983
6105,St. Vincent and the Grenadines,1186.54194816936,0.0,,,1983
6106,"Venezuela, RB",4108.48100615451,0.0,,,1983
6107,British Virgin Islands,,0.0,,,1983
6108,Virgin Islands (U.S.),,0.0,,,1983
6109,Vietnam,,0.0,,,1983
6110,Vanuatu,945.066572672795,0.0,,,1983
6111,World,2525.02459946684,0.003386914,,,1983
6112,Samoa,706.4499894217,0.0,,,1983
6113,Kosovo,,,,,1983
6114,"Yemen, Rep.",,0.0,,,1983
6115,South Africa,2820.43371745368,0.0,,,1983
6116,Zambia,496.197753578953,0.0,,,1983
6117,Zimbabwe,940.55795296427,0.0,,,1983
6118,Aruba,,0.0,,,1984
6119,Africa Eastern and Southern,571.447121239101,0.0,,,1984
6120,Afghanistan,,0.0,,,1984
6121,Africa Western and Central,656.712783360308,0.0,,,1984
6122,Angola,638.099006801712,0.0,,,1984
6123,Albania,639.484735848211,0.0,,,1984
6124,Andorra,7728.90669456943,0.0,,,1984
6125,Arab World,2289.36965926551,0.002767255,,,1984
6126,United Arab Emirates,32309.8327132028,0.381461408,,,1984
6127,Argentina,2659.70824247007,0.0,,,1984
6128,Armenia,,0.0,,,1984
6129,American Samoa,,0.0,,,1984
6130,Antigua and Barbuda,3372.60207005529,0.0,,,1984
6131,Australia,12454.5517172396,0.0,,,1984
6132,Austria,8991.06503963026,0.0,,,1984
6133,Azerbaijan,,0.0,,,1984
6134,Burundi,213.616841365552,0.0,0.0,,1984
6135,Belgium,8457.26880316374,0.0,,,1984
6136,Benin,252.869785044788,0.0,,,1984
6137,Burkina Faso,193.843273138253,0.0,,,1984
6138,Bangladesh,213.996638569696,0.0,,,1984
6139,Bulgaria,1963.57267618274,0.0,,,1984
6140,Bahrain,9590.54179396802,0.0,,,1984
6141,"Bahamas, The",8877.70591484605,0.0,,,1984
6142,Bosnia and Herzegovina,,0.0,,,1984
6143,Belarus,,0.0,,,1984
6144,Belize,1337.03761994362,0.0,,,1984
6145,Bermuda,17469.8255675877,0.0,,,1984
6146,Bolivia,1019.05725747634,0.0,,,1984
6147,Brazil,1422.68391394237,0.0,,,1984
6148,Barbados,5271.7298364272,0.0,,,1984
6149,Brunei Darussalam,17337.0264761605,0.0,,,1984
6150,Bhutan,355.415897221933,0.0,,,1984
6151,Botswana,1202.97600222274,0.0,0.0,,1984
6152,Central African Republic,257.353636634786,0.0,,,1984
6153,Canada,13877.9170763469,0.0,,,1984
6154,Central Europe and the Baltics,,0.0,,,1984
6155,Switzerland,17005.5342408851,0.0,,,1984
6156,Channel Islands,,,,,1984
6157,Chile,1624.63196763634,0.0,,,1984
6158,China,250.713969046988,0.0,,,1984
6159,Cote d'Ivoire,717.897667480131,0.0,,,1984
6160,Cameroon,749.339066162896,0.0,,,1984
6161,"Congo, Dem. Rep.",269.842724251425,0.0,,,1984
6162,"Congo, Rep.",1098.44164099004,0.0,,,1984
6163,Colombia,1304.17717695327,0.0,,,1984
6164,Comoros,534.649114927889,0.0,,,1984
6165,Cabo Verde,431.237554822691,0.0,,,1984
6166,Costa Rica,1373.93926134921,0.0,,,1984
6167,Caribbean small states,2778.89334709211,0.0,,,1984
6168,Cuba,2396.35366186717,0.0,,,1984
6169,Curacao,,,,,1984
6170,Cayman Islands,,0.0,,,1984
6171,Cyprus,4258.74358947914,0.0,,,1984
6172,Czech Republic,,0.0,,,1984
6173,Germany,9313.16941243118,0.0,,,1984
6174,Djibouti,,0.0,,,1984
6175,Dominica,1478.17174580533,0.0,,,1984
6176,Denmark,11562.9190778487,0.598116753,,,1984
6177,Dominican Republic,1831.08645937307,0.0,,,1984
6178,Algeria,2467.34608187899,0.0,,,1984
6179,East Asia & Pacific (excluding high income),331.275964275491,0.000118837,,,1984
6180,Early-demographic dividend,799.619422267031,0.000100421,,,1984
6181,East Asia & Pacific,1347.50248801464,0.002634352,,,1984
6182,Europe & Central Asia (excluding high income),,0.0,,,1984
6183,Europe & Central Asia,4507.88119108049,0.023953529,,,1984
6184,Ecuador,1912.43127079044,0.0,,,1984
6185,"Egypt, Arab Rep.",708.195747618183,0.0,,,1984
6186,Euro area,7639.729049756,0.020707569,,,1984
6187,Eritrea,,0.0,,,1984
6188,Spain,4489.98893854814,,,,1984
6189,Estonia,,0.0,,,1984
6190,Ethiopia,205.62379289169,0.0,,,1984
6191,European Union,6304.66946816825,0.039133546,,,1984
6192,Fragile and conflict affected situations,785.729737202323,0.0,,,1984
6193,Finland,10833.8662886935,1.063989964,,,1984
6194,Fiji,1681.70508371975,0.0,,,1984
6195,France,9419.69614346785,0.0,,,1984
6196,Faroe Islands,,0.0,,,1984
6197,"Micronesia, Fed. Sts.",,0.0,,,1984
6198,Gabon,4423.52050973431,0.0,,,1984
6199,United Kingdom,8179.19444064991,0.0,,,1984
6200,Georgia,,0.0,,,1984
6201,Ghana,355.666703674849,0.0,,,1984
6202,Gibraltar,,0.0,,,1984
6203,Guinea,,0.0,,,1984
6204,"Gambia, The",244.373342167364,0.0,,,1984
6205,Guinea-Bissau,162.672154070606,0.0,,,1984
6206,Equatorial Guinea,151.772906997258,0.0,,,1984
6207,Greece,4852.56566737719,0.0,,,1984
6208,Grenada,1477.91565867191,0.0,0.0,,1984
6209,Greenland,7198.70224749384,0.0,,,1984
6210,Guatemala,1234.7026407121,0.0,,,1984
6211,Guam,,0.0,,,1984
6212,Guyana,564.527874470191,0.0,,,1984
6213,High income,10074.8540706557,0.037424721,,,1984
6214,"Hong Kong SAR, China",6208.22615937199,0.019201822,,,1984
6215,Honduras,1183.02592972677,0.0,,,1984
6216,Heavily indebted poor countries (HIPC),342.080527695686,0.0,,,1984
6217,Croatia,,0.0,,,1984
6218,Haiti,293.186773308607,0.0,,,1984
6219,Hungary,,0.0,,,1984
6220,IBRD only,790.584453635932,5.59e-05,,,1984
6221,IDA & IBRD total,720.815698271068,4.56e-05,,,1984
6222,IDA total,411.971144292035,0.0,,,1984
6223,IDA blend,618.809439993031,0.0,,,1984
6224,Indonesia,525.33394347037,0.001083435,,,1984
6225,IDA only,305.726972258805,0.0,,,1984
6226,Isle of Man,,,,,1984
6227,India,276.66795828235,0.0,,,1984
6228,Not classified,,,,,1984
6229,Ireland,5692.02738597285,0.0,,,1984
6230,"Iran, Islamic Rep.",3568.65548566973,0.0,,,1984
6231,Iraq,3090.00417742725,0.0,,,1984
6232,Iceland,11959.539878557,0.0,,,1984
6233,Israel,,,,,1984
6234,Italy,7739.71528361795,0.0,,,1984
6235,Jamaica,1029.13671479523,0.0,,,1984
6236,Jordan,1783.72659840102,0.0,,,1984
6237,Japan,10978.9198054992,0.033329684,,,1984
6238,Kazakhstan,,0.0,,,1984
6239,Kenya,323.373380913472,0.0,,,1984
6240,Kyrgyz Republic,,0.0,,,1984
6241,Cambodia,,0.0,,,1984
6242,Kiribati,657.361711638425,0.0,,,1984
6243,St. Kitts and Nevis,2336.69140015412,0.0,,,1984
6244,"Korea, Rep.",2413.26392539765,,,,1984
6245,Kuwait,13132.7651074905,0.0,,,1984
6246,Latin America & Caribbean (excluding high income),1711.38037027051,0.0,,,1984
6247,Lao PDR,489.957743732574,0.0,,,1984
6248,Lebanon,,0.0,,,1984
6249,Liberia,,0.0,,,1984
6250,Libya,,0.0,,,1984
6251,St. Lucia,2023.24677770388,0.0,,,1984
6252,Latin America & Caribbean,1849.8017118808,0.0,,,1984
6253,Least developed countries: UN classification,234.187489885538,0.0,,,1984
6254,Low income,327.588692734875,0.0,,,1984
6255,Liechtenstein,18596.1726878449,,,,1984
6256,Sri Lanka,378.936856997864,0.0,,,1984
6257,Lower middle income,483.812296431044,0.000100128,,,1984
6258,Low & middle income,696.500160580054,4.62e-05,,,1984
6259,Lesotho,223.643573132656,0.0,,,1984
6260,Late-demographic dividend,786.394512782753,0.00028946,,,1984
6261,Lithuania,,0.0,,,1984
6262,Luxembourg,12126.9391987909,0.0,,,1984
6263,Latvia,,0.0,,,1984
6264,"Macao SAR, China",4796.93298957244,0.0,,,1984
6265,St. Martin (French part),,,,,1984
6266,Morocco,668.385423045468,0.0,,,1984
6267,Monaco,36382.9734569848,0.0,,,1984
6268,Moldova,,0.0,,,1984
6269,Madagascar,399.344729064822,0.0,,,1984
6270,Maldives,598.877461603577,0.0,0.0,,1984
6271,Middle East & North Africa,3011.41016310893,0.002547715,,,1984
6272,Mexico,2478.21083598733,0.0,,,1984
6273,Marshall Islands,1234.65703971119,0.0,,,1984
6274,Middle income,723.436681494926,4.94e-05,,,1984
6275,North Macedonia,,0.0,,,1984
6276,Mali,160.226849805572,0.0,,,1984
6277,Malta,3332.88535682256,0.0,,,1984
6278,Myanmar,36.3760362439616,0.0,,,1984
6279,Middle East & North Africa (excluding high income),1932.07181067901,0.0,,,1984
6280,Montenegro,,,,,1984
